sample_id,orig_path,edited_path,reversed_path,source_side,target_side,edit_magnitude,reverse_error
sample_2824,experiment/laterality/edits/sample_2824_original.png,experiment/laterality/edits/sample_2824_edited.png,experiment/laterality/edits/sample_2824_reversed.png,left,right,4.539129,0.002790
sample_2825,experiment/laterality/edits/sample_2825_original.png,experiment/laterality/edits/sample_2825_edited.png,experiment/laterality/edits/sample_2825_reversed.png,right,left,3.579931,0.004104
sample_2826,experiment/laterality/edits/sample_2826_original.png,experiment/laterality/edits/sample_2826_edited.png,experiment/laterality/edits/sample_2826_reversed.png,right,left,3.336286,0.002901
sample_2827,experiment/laterality/edits/sample_2827_original.png,experiment/laterality/edits/sample_2827_edited.png,experiment/laterality/edits/sample_2827_reversed.png,left,right,4.689737,0.006068
sample_2828,experiment/laterality/edits/sample_2828_original.png,experiment/laterality/edits/sample_2828_edited.png,experiment/laterality/edits/sample_2828_reversed.png,left,right,4.105365,0.003297
sample_2829,experiment/laterality/edits/sample_2829_original.png,experiment/laterality/edits/sample_2829_edited.png,experiment/laterality/edits/sample_2829_reversed.png,right,left,5.149224,0.005060
sample_2830,experiment/laterality/edits/sample_2830_original.png,experiment/laterality/edits/sample_2830_edited.png,experiment/laterality/edits/sample_2830_reversed.png,left,right,5.008353,0.002998
sample_2831,experiment/laterality/edits/sample_2831_original.png,experiment/laterality/edits/sample_2831_edited.png,experiment/laterality/edits/sample_2831_reversed.png,right,left,4.601794,0.002269
sample_2832,experiment/laterality/edits/sample_2832_original.png,experiment/laterality/edits/sample_2832_edited.png,experiment/laterality/edits/sample_2832_reversed.png,right,left,3.417766,0.003853
sample_2833,experiment/laterality/edits/sample_2833_original.png,experiment/laterality/edits/sample_2833_edited.png,experiment/laterality/edits/sample_2833_reversed.png,left,right,4.769171,0.002494
sample_2834,experiment/laterality/edits/sample_2834_original.png,experiment/laterality/edits/sample_2834_edited.png,experiment/laterality/edits/sample_2834_reversed.png,left,right,4.877905,0.002937
sample_2835,experiment/laterality/edits/sample_2835_original.png,experiment/laterality/edits/sample_2835_edited.png,experiment/laterality/edits/sample_2835_reversed.png,left,right,4.942114,0.002964
sample_2836,experiment/laterality/edits/sample_2836_original.png,experiment/laterality/edits/sample_2836_edited.png,experiment/laterality/edits/sample_2836_reversed.png,right,left,4.635692,0.003118
sample_2837,experiment/laterality/edits/sample_2837_original.png,experiment/laterality/edits/sample_2837_edited.png,experiment/laterality/edits/sample_2837_reversed.png,left,right,4.082071,0.002678
sample_2838,experiment/laterality/edits/sample_2838_original.png,experiment/laterality/edits/sample_2838_edited.png,experiment/laterality/edits/sample_2838_reversed.png,right,left,5.444601,0.002378
sample_2839,experiment/laterality/edits/sample_2839_original.png,experiment/laterality/edits/sample_2839_edited.png,experiment/laterality/edits/sample_2839_reversed.png,left,right,4.304335,0.002271
sample_2840,experiment/laterality/edits/sample_2840_original.png,experiment/laterality/edits/sample_2840_edited.png,experiment/laterality/edits/sample_2840_reversed.png,right,left,4.066852,0.003142
